0	0	杭州市采荷第一小学钱江苑校区，杭州市钱江新城实验学校。	1
0	1	是的	0
0	2	这是5楼	0
1	0	因为公积金贷款贷的少	0
1	1	是呢	0
1	2	这套一楼带院的，您看看	0
1	3	房本都是五年外的	0
1	4	好的??，您先看下	0
2	0	您是首套还是二套呢？	0
2	1	所有费用下来654万	1
2	2	包含着税费和我们的服务费和房款	1
2	3	好的	0
2	4	链家天鸿美域店NAME，电话是PHONE（同微信号），随时联系?	0
3	0	正常银行贷款，可以自己还的	0
3	1	有一点靠近川沙路	1
3	2	只有那一套毛坯的不靠近川沙路	0
4	0	有	1
4	1	河西区海河沿线的新房，均价30000，带装修，看看去吗，优惠点位很大，五一特惠	0
4	2	宾水里，肿瘤医院地铁5-6号线旁，私产过五年唯一，3楼，南北通透偏独，业主着急卖，看房有钥匙	0
5	0	您看看这个	0
5	1	13楼，精装修的/ 	0
5	2	您现在方便吗 	0
5	3	可以先线上带您看一下 	0
5	4	您稍等一下，给您发链接您点进来就行 	0
6	0	价格周期可谈	1
6	1	您好	0
6	2	您好，您之前咨询的房源户型很优质，您有时间去看看吗？	0
7	0	宾至路有套82平方的	1
7	1	笋盘	1
7	2	可以带您看一下	1
8	0	光线非常好，友联花园都是可以	1
8	1	你点开图片，逐一看看	0
8	2	?	0
9	0	是的	0
9	1	这个是二期的老师	1
9	2	还有的	0
9	3	二期都刚下证今年	0
9	4	一期的有免税的了	0
10	0	我们下班比较晚，现在也能看房	0
10	1	哦	0
10	2	大概是这样的	0
10	3	偶尔也会根据成交价格稍微有一点儿浮动	0
10	4	不过这种找房子浮动空间都不大	0
11	0	这套房子价格还有空间	1
11	1	具体要看您付款方式	1
12	0	对的，	0
12	1	三向的，	0
12	2	您想了解一下什么，	0
13	0	明天去看看咯，10点，女朋友妈妈也看看	0
13	1	我帮你查下啦，刚到家，我看下系统	0
13	2	我今天跑到亚运城看新房了，累死了😂，五一太火爆了	0
14	0	这套房子在4楼，是中层楼	0
14	1	你好	0
14	2	七八户😅😅😅	0
15	0	小学是砂子塘万科魅力之城小学	1
15	1	中学是微机派位的	1
15	2	附近的有雅礼雨花、一中新华都、南雅中学这些	1
15	3	最近的是雅礼雨花和一中新华都	1
16	0	首套房	1
16	1	首付办完 63万左右	1
16	2	包含全部	0
